Date,Open,High,Low,Close,Adj Close,Volume
2020-10-12,50.580002,50.840000,50.080002,50.680000,50.609257,13108800
2020-10-13,51.889999,52.750000,51.639999,51.849998,51.777622,22179400
2020-10-14,52.009998,52.250000,51.349998,51.630001,51.557930,15899400
2020-10-15,50.759998,51.970001,50.320000,51.939999,51.867496,14000600
2020-10-16,52.150002,52.549999,51.580002,51.610001,51.537960,14225400
2020-10-19,51.970001,54.000000,51.299999,52.630001,52.556538,24176200
2020-10-20,53.139999,54.200001,52.750000,53.529999,53.455276,17343400
2020-10-21,53.299999,53.959999,53.180000,53.310001,53.235588,12922200
2020-10-22,53.290001,54.849998,53.080002,54.380001,54.304092,14842600
2020-10-23,54.090000,54.119999,52.380001,52.849998,52.776226,16175700
2020-10-26,52.400002,52.889999,51.400002,52.139999,52.067219,11678900
2020-10-27,52.029999,52.320000,51.540001,51.959999,51.887470,8964800
2020-10-28,50.750000,50.849998,49.570000,50.000000,49.930206,15463700
2020-10-29,49.709999,50.910000,49.380001,50.480000,50.409534,12420700
2020-10-30,50.009998,50.430000,49.299999,50.340000,50.269730,15955700
2020-11-02,50.790001,50.790001,49.439999,49.709999,49.640610,13103200
2020-11-03,50.130001,51.590000,50.009998,51.080002,51.008701,11429500
2020-11-04,51.730000,52.500000,50.930000,51.959999,51.887470,13554400
2020-11-05,52.880001,54.779999,52.779999,54.580002,54.503815,16373600
2020-11-06,54.459999,55.410000,54.330002,55.160000,55.083004,13922600
2020-11-09,56.470001,57.830002,55.869999,55.959999,55.881886,20968500
2020-11-10,55.130001,55.939999,54.360001,55.410000,55.332653,14502100
2020-11-11,55.970001,56.939999,55.849998,56.360001,56.281330,14765500
2020-11-12,56.599998,56.970001,55.889999,56.250000,56.171482,13785600
2020-11-13,56.790001,58.189999,56.750000,57.930000,57.849136,14318800
2020-11-16,59.720001,61.910000,59.610001,61.860001,61.773651,31397200
2020-11-17,61.000000,62.200001,60.299999,61.990002,61.903473,17703600
2020-11-18,61.500000,62.040001,60.630001,60.740002,60.655216,18734500
2020-11-19,60.040001,61.970001,59.650002,61.830002,61.743694,12723600
2020-11-20,61.480000,62.639999,61.349998,61.400002,61.314293,14115700
2020-11-23,62.610001,64.500000,62.299999,64.180000,64.090416,20612600
2020-11-24,64.290001,64.290001,62.889999,63.950001,63.860733,22625600
2020-11-25,63.660000,64.000000,62.610001,63.430000,63.341461,12468500
2020-11-27,63.830002,64.800003,63.509998,64.230003,64.140343,7500200
2020-11-30,64.559998,65.250000,63.580002,64.089996,64.000534,20373500
2020-12-01,65.250000,68.629997,65.139999,67.080002,66.986366,36160400
2020-12-02,67.610001,69.389999,66.760002,69.110001,69.013535,23298900
2020-12-03,70.570000,71.120003,69.550003,69.900002,69.802429,20462300
2020-12-04,71.110001,74.379997,70.540001,73.339996,73.237625,31860800
2020-12-07,73.290001,73.400002,71.480003,72.610001,72.508644,17460600
2020-12-08,72.000000,73.550003,71.980003,73.190002,73.087837,15431100
2020-12-09,73.150002,74.610001,70.779999,71.410004,71.310326,18367300
2020-12-10,70.139999,71.949997,69.669998,71.279999,71.180504,15610600
2020-12-11,70.379997,71.320000,69.400002,70.529999,70.431549,15322000
2020-12-14,71.400002,72.199997,71.029999,71.540001,71.440140,13573700
2020-12-15,72.809998,73.370003,72.330002,73.150002,73.047890,11538300
2020-12-16,74.190002,74.349998,72.629997,72.989998,72.888115,13889300
2020-12-17,73.589996,73.739998,71.760002,72.260002,72.159134,11988100
2020-12-18,72.699997,73.449997,71.059998,71.459999,71.360252,23912500
2020-12-21,70.000000,71.699997,69.650002,71.470001,71.370239,13180400
2020-12-22,71.510002,71.779999,69.760002,70.440002,70.341675,11154200
2020-12-23,70.470001,71.059998,69.889999,69.949997,69.852356,8524000
2020-12-24,70.309998,70.639999,69.760002,70.580002,70.481483,4848500
2020-12-28,71.790001,72.110001,70.470001,70.660004,70.561371,8345200
2020-12-29,71.000000,71.400002,69.139999,70.209999,70.111992,9403400
2020-12-30,70.419998,72.650002,70.370003,71.919998,71.819603,11620300
2020-12-31,72.389999,75.680000,72.370003,75.180000,75.075058,23214500
2021-01-04,76.480003,78.610001,73.750000,74.050003,73.946640,31155900
2021-01-05,76.440002,78.690002,76.029999,77.260002,77.152153,33418200
2021-01-06,76.360001,78.449997,76.099998,77.110001,77.002365,22390900
2021-01-07,78.059998,80.080002,78.050003,79.110001,78.999573,27945300
2021-01-08,82.540001,84.160004,77.070000,77.419998,77.311928,51272100
2021-01-11,76.589996,79.790001,76.419998,78.669998,78.560181,19920800
2021-01-12,79.190002,79.620003,77.820000,79.459999,79.349083,18231000
2021-01-13,78.949997,80.389999,78.550003,79.910004,79.798462,15067700
2021-01-14,80.010002,82.209999,79.550003,81.300003,81.186516,17639300
2021-01-15,80.919998,81.879997,79.529999,80.720001,80.607323,14322600
2021-01-19,81.279999,85.680000,80.959999,85.500000,85.380653,26602500
2021-01-20,85.930000,87.250000,83.230003,83.500000,83.383446,21191700
2021-01-21,84.000000,85.099998,82.510002,85.010002,84.891335,14696200
2021-01-22,84.080002,84.949997,82.230003,82.279999,82.165146,14229500
2021-01-25,83.190002,83.500000,78.889999,81.279999,81.166542,19283400
2021-01-26,81.790001,81.980003,79.010002,79.510002,79.399017,13678000
2021-01-27,77.330002,77.589996,74.330002,75.089996,74.985176,23513400
2021-01-28,77.199997,80.180000,76.720001,78.389999,78.280579,18351400
2021-01-29,78.360001,79.370003,76.949997,78.269997,78.160744,17934400
2021-02-01,79.589996,81.089996,78.480003,80.430000,80.317726,14900200
2021-02-02,81.260002,81.739998,79.919998,81.620003,81.506073,11386200
2021-02-03,81.849998,82.529999,78.970001,79.110001,78.999573,17456000
2021-02-04,79.150002,81.339996,78.959999,81.250000,81.136581,11519700
2021-02-05,81.769997,82.019997,80.720001,81.099998,80.986794,10958000
2021-02-08,81.750000,84.059998,81.639999,84.010002,83.892731,12394800
2021-02-09,83.349998,84.000000,82.400002,83.320000,83.203697,10362500
2021-02-10,84.000000,84.440002,81.300003,82.349998,82.235046,9869200
2021-02-11,84.400002,86.639999,84.000000,86.480003,86.359291,18750400
2021-02-12,86.110001,88.320000,85.459999,88.010002,87.887154,14273900
2021-02-16,89.220001,89.220001,87.050003,87.739998,87.617523,10312800
2021-02-17,86.690002,87.320000,84.900002,86.050003,85.929886,10033500
2021-02-18,86.519997,88.730003,85.959999,88.540001,88.416412,19168100
2021-02-19,90.250000,91.489998,88.809998,90.959999,90.833031,21886500
2021-02-22,89.529999,90.519997,85.919998,86.279999,86.159561,16077000
2021-02-23,85.239998,89.199997,82.440002,88.230003,88.106842,23203200
2021-02-24,88.300003,92.599998,87.730003,92.519997,92.390846,21281700
2021-02-25,91.519997,93.099998,87.580002,88.120003,87.996994,22546200
2021-02-26,89.739998,92.940002,88.230003,91.529999,91.402237,22787600
2021-03-01,94.540001,95.750000,92.570000,94.760002,94.627731,19908900
2021-03-02,93.570000,94.900002,90.900002,91.089996,90.962845,18679600
2021-03-03,90.570000,93.330002,88.389999,89.110001,88.985611,26424100
2021-03-04,88.809998,89.750000,81.849998,84.330002,84.212288,31971100
2021-03-05,87.529999,89.320000,83.300003,88.930000,88.805862,30329100
2021-03-08,88.570000,89.720001,84.870003,85.050003,84.931282,22708300
2021-03-09,88.000000,90.180000,86.300003,89.300003,89.175354,22301400
2021-03-10,90.010002,90.010002,85.309998,85.410004,85.290779,23407800
