Date,Open,High,Low,Close,Adj Close,Volume
9/11/1973,1.46875,1.488281,1.46875,1.477865,0.363708,1190400
9/12/1973,1.477865,1.492188,1.473958,1.488281,0.366272,1036800
9/13/1973,1.488281,1.490885,1.481771,1.485677,0.365631,528000
9/14/1973,1.485677,1.49349,1.476563,1.492188,0.367233,940800
9/17/1973,1.486979,1.486979,1.473958,1.484375,0.36531,1276800
9/18/1973,1.484375,1.497396,1.479167,1.484375,0.36531,1027200
9/19/1973,1.484375,1.488281,1.470052,1.473958,0.362747,1008000
9/20/1973,1.479167,1.494792,1.479167,1.492188,0.367233,1497600
9/21/1973,1.49349,1.520833,1.49349,1.513021,0.37236,1699200
9/24/1973,1.513021,1.520833,1.5,1.514323,0.372681,1228800
9/25/1973,1.514323,1.53125,1.511719,1.527344,0.375885,1612800
9/26/1973,1.527344,1.53125,1.50651,1.519531,0.373962,1123200
9/27/1973,1.519531,1.526042,1.507813,1.515625,0.373001,2524800
9/28/1973,1.515625,1.528646,1.513021,1.523438,0.374924,672000
10/1/1973,1.523438,1.526042,1.50651,1.518229,0.373642,729600
10/2/1973,1.518229,1.520833,1.510417,1.511719,0.37204,1209600
10/3/1973,1.510417,1.510417,1.47526,1.479167,0.364029,1795200
10/4/1973,1.476563,1.476563,1.445313,1.449219,0.356658,2112000
10/5/1973,1.451823,1.46875,1.451823,1.46875,0.361465,4099200
10/8/1973,1.46875,1.471354,1.458333,1.466146,0.360824,1257600
10/9/1973,1.466146,1.477865,1.454427,1.471354,0.362106,1852800
10/10/1973,1.476563,1.498698,1.476563,1.489583,0.366592,1324800
10/11/1973,1.489583,1.501302,1.486979,1.494792,0.367874,1363200
10/12/1973,1.494792,1.502604,1.489583,1.502604,0.369797,816000
10/15/1973,1.494792,1.494792,1.476563,1.485677,0.365631,912000
10/16/1973,1.485677,1.492188,1.476563,1.486979,0.365951,864000
10/17/1973,1.486979,1.498698,1.486979,1.486979,0.365951,816000
10/18/1973,1.489583,1.5,1.489583,1.494792,0.367874,998400
10/19/1973,1.494792,1.507813,1.494792,1.498698,0.368835,662400
10/22/1973,1.489583,1.489583,1.476563,1.484375,0.36531,537600
10/23/1973,1.484375,1.497396,1.484375,1.497396,0.368515,384000
10/24/1973,1.497396,1.497396,1.484375,1.492188,0.367233,1353600
10/25/1973,1.492188,1.497396,1.486979,1.489583,0.366592,604800
10/26/1973,1.502604,1.510417,1.502604,1.510417,0.371719,883200
10/29/1973,1.510417,1.510417,1.5,1.5,0.369156,768000
10/30/1973,1.5,1.503906,1.489583,1.5,0.369156,969600
10/31/1973,1.494792,1.494792,1.481771,1.485677,0.365631,1065600
11/1/1973,1.485677,1.505208,1.481771,1.497396,0.368515,1219200
11/2/1973,1.497396,1.509115,1.486979,1.505208,0.370437,806400
11/5/1973,1.505208,1.518229,1.5,1.509115,0.371399,2745600
11/6/1973,1.509115,1.510417,1.479167,1.484375,0.36531,969600
11/7/1973,1.484375,1.505208,1.473958,1.505208,0.370437,1152000
11/8/1973,1.505208,1.514323,1.497396,1.5,0.369156,892800
11/9/1973,1.5,1.505208,1.490885,1.497396,0.368515,729600
11/12/1973,1.497396,1.50651,1.476563,1.481771,0.36467,931200
11/13/1973,1.481771,1.484375,1.46875,1.473958,0.362747,2112000
11/14/1973,1.473958,1.479167,1.464844,1.471354,0.362106,854400
11/15/1973,1.471354,1.473958,1.466146,1.46875,0.361465,1449600
11/16/1973,1.46875,1.479167,1.467448,1.47526,0.363067,1180800
11/19/1973,1.471354,1.471354,1.377604,1.38151,0.339995,6508800
11/20/1973,1.38151,1.394531,1.355469,1.389323,0.341918,3916800
11/21/1973,1.389323,1.416667,1.367188,1.395833,0.34352,3360000
11/23/1973,1.395833,1.40625,1.382813,1.388021,0.341597,1084800
11/26/1973,1.36849,1.36849,1.354167,1.356771,0.335101,2841600
11/27/1973,1.356771,1.375,1.34375,1.351563,0.333815,3609600
11/28/1973,1.351563,1.371094,1.320313,1.35026,0.333493,3206400
11/29/1973,1.35026,1.372396,1.333333,1.360677,0.336066,2323200
11/30/1973,1.360677,1.361979,1.346354,1.351563,0.333815,1286400
12/3/1973,1.345052,1.345052,1.307292,1.316406,0.325132,3715200
12/4/1973,1.316406,1.321615,1.304688,1.304688,0.322237,2438400
12/5/1973,1.304688,1.308594,1.292969,1.30599,0.322559,3388800
12/6/1973,1.30599,1.307292,1.289063,1.291667,0.319021,3273600
12/7/1973,1.296875,1.317708,1.296875,1.302083,0.321594,2256000
12/10/1973,1.302083,1.339844,1.286458,1.339844,0.33092,1680000
12/11/1973,1.339844,1.352865,1.291667,1.294271,0.319665,1536000
12/12/1973,1.286458,1.286458,1.27474,1.28125,0.316449,2524800
12/13/1973,1.28125,1.282552,1.263021,1.270833,0.313876,3340800
12/14/1973,1.270833,1.270833,1.239583,1.265625,0.31259,3580800
12/17/1973,1.265625,1.268229,1.236979,1.25,0.30873,1075200
12/18/1973,1.25,1.268229,1.234375,1.261719,0.311625,2803200
12/19/1973,1.261719,1.28125,1.252604,1.252604,0.309373,1785600
12/20/1973,1.252604,1.27474,1.234375,1.242188,0.306801,2889600
12/21/1973,1.242188,1.244792,1.21875,1.21875,0.301012,2064000
12/24/1973,1.213542,1.213542,1.203125,1.208333,0.298439,2563200
12/26/1973,1.223958,1.253906,1.223958,1.25,0.30873,2323200
12/27/1973,1.25,1.308594,1.246094,1.30599,0.322559,2534400
12/28/1973,1.30599,1.3125,1.291667,1.307292,0.322881,1315200
12/31/1973,1.307292,1.320313,1.298177,1.317708,0.325453,1872000
1/2/1974,1.3125,1.3125,1.296875,1.296875,0.320308,1008000
1/3/1974,1.304688,1.330729,1.304688,1.322917,0.32674,2208000
1/4/1974,1.3125,1.3125,1.282552,1.291667,0.319021,2736000
1/7/1974,1.28125,1.28125,1.253906,1.270833,0.313876,1612800
1/8/1974,1.265625,1.265625,1.234375,1.239583,0.306158,3465600
1/9/1974,1.205729,1.205729,1.192708,1.192708,0.29458,5904000
1/10/1974,1.192708,1.205729,1.169271,1.169271,0.288792,2889600
1/11/1974,1.169271,1.192708,1.161458,1.192708,0.29458,3484800
1/14/1974,1.209635,1.247396,1.209635,1.22526,0.30262,3417600
1/15/1974,1.231771,1.276042,1.231771,1.252604,0.309373,1881600
1/16/1974,1.252604,1.255208,1.236979,1.251302,0.309052,1852800
1/17/1974,1.261719,1.307292,1.261719,1.303385,0.321916,5280000
1/18/1974,1.303385,1.303385,1.28125,1.28125,0.316449,2323200
1/21/1974,1.265625,1.265625,1.234375,1.252604,0.309373,2736000
1/22/1974,1.252604,1.260417,1.239583,1.255208,0.310017,2198400
1/23/1974,1.255208,1.270833,1.252604,1.264323,0.312268,1910400
1/24/1974,1.264323,1.265625,1.252604,1.264323,0.312268,748800
1/25/1974,1.260417,1.260417,1.25,1.255208,0.310017,1276800
1/28/1974,1.255208,1.272135,1.255208,1.268229,0.313232,1305600
1/29/1974,1.265625,1.265625,1.253906,1.253906,0.309695,960000
1/30/1974,1.253906,1.261719,1.247396,1.248698,0.308409,1296000
1/31/1974,1.248698,1.251302,1.223958,1.223958,0.302298,1536000
2/1/1974,1.222656,1.222656,1.204427,1.220052,0.301334,2092800
2/4/1974,1.217448,1.217448,1.205729,1.210938,0.299083,1766400
2/5/1974,1.208333,1.208333,1.192708,1.200521,0.29651,1641600
2/6/1974,1.200521,1.213542,1.190104,1.195313,0.295224,1152000
2/7/1974,1.195313,1.203125,1.18099,1.197917,0.295867,1180800
2/8/1974,1.197917,1.208333,1.183594,1.184896,0.292651,1075200
2/11/1974,1.182292,1.182292,1.145833,1.147135,0.283324,2496000
2/12/1974,1.147135,1.161458,1.143229,1.143229,0.28236,2169600
2/13/1974,1.151042,1.160156,1.151042,1.157552,0.285897,1382400
2/14/1974,1.157552,1.169271,1.147135,1.148438,0.283646,969600
2/15/1974,1.148438,1.164063,1.140625,1.14974,0.283968,1468800
2/19/1974,1.14974,1.171875,1.145833,1.147135,0.283324,2860800
2/20/1974,1.147135,1.174479,1.141927,1.167969,0.28847,1900800
2/21/1974,1.167969,1.1875,1.15625,1.184896,0.292651,2294400
2/22/1974,1.184896,1.188802,1.178385,1.18099,0.291686,1612800
2/25/1974,1.18099,1.184896,1.171875,1.175781,0.290399,1219200
2/26/1974,1.175781,1.197917,1.166667,1.18099,0.291686,1296000
2/27/1974,1.1875,1.208333,1.1875,1.197917,0.295867,2073600
2/28/1974,1.197917,1.203125,1.19401,1.197917,0.295867,854400
3/1/1974,1.197917,1.200521,1.19401,1.19401,0.294902,1065600
3/4/1974,1.19401,1.195313,1.173177,1.188802,0.293615,1161600
3/5/1974,1.188802,1.196615,1.183594,1.192708,0.29458,2035200
3/6/1974,1.192708,1.203125,1.192708,1.200521,0.29651,1488000
3/7/1974,1.195313,1.195313,1.178385,1.179688,0.291364,1344000
3/8/1974,1.179688,1.190104,1.166667,1.1875,0.294616,1315200
